OBJECTID_1 *,Shape *,Condition,springpres,COUNT,SUM,boul_area,length_m,area_leng,boul_pres,Shape_Length
1,Polyline,Dry,1,61489,167557525,167.5575,703.8706,0.238052,1,0.007821
2,Polyline,Dry,1,197678,538672550,538.6725,1679.743,0.320687,1,0.018664
3,Polyline,Dry,0,38209,104119525,104.1195,218.3987,0.476741,1,0.002427
4,Polyline,Dry,0,6990,19047750,19.04775,240.693,0.079137,1,0.002674
5,Polyline,Dry,0,5080,13843000,13.843,360.3567,0.038415,1,0.004004
6,Polyline,Dry,1,53494,145771150,145.7711,791.7947,0.184102,1,0.008798
7,Polyline,Dry,0,18734,51050150,51.05015,303.3712,0.168276,1,0.003371
8,Polyline,Dry,0,<Null>,<Null>,<Null>,301.8768,<Null>,0,0.003354
9,Polyline,Wet,0,129,351525,0.351525,2.00588,0.175247,1,0.000022
10,Polyline,Wet,0,4053,11044425,11.04443,4.06025,2.720134,1,0.000045
11,Polyline,Wet,0,<Null>,<Null>,<Null>,6.993134,<Null>,0,0.000078
12,Polyline,Wet,0,<Null>,<Null>,<Null>,23.40857,<Null>,0,0.00026
13,Polyline,Wet,0,<Null>,<Null>,<Null>,27.35894,<Null>,0,0.000304
14,Polyline,Wet,0,<Null>,<Null>,<Null>,2.444704,<Null>,0,0.000027
15,Polyline,Wet,0,<Null>,<Null>,<Null>,2.444641,<Null>,0,0.000027
16,Polyline,Wet,0,<Null>,<Null>,<Null>,17.42732,<Null>,0,0.000194
17,Polyline,Wet,0,5459,14875775,14.87578,21.28425,0.69891,1,0.000236
18,Polyline,Wet,0,10062,27418950,27.41895,14.90452,1.83964,1,0.000166
19,Polyline,Wet,0,1,2725,0.002725,0.810647,0.003362,1,0.000009
20,Polyline,Wet,0,10943,29819675,29.81968,8.493522,3.510873,1,0.000094
21,Polyline,Wet,0,<Null>,<Null>,<Null>,1.225212,<Null>,0,0.000014
22,Polyline,Wet,0,<Null>,<Null>,<Null>,22.68031,<Null>,0,0.000252
23,Polyline,Wet,0,<Null>,<Null>,<Null>,2.065299,<Null>,0,0.000023
24,Polyline,Wet,0,<Null>,<Null>,<Null>,3.753892,<Null>,0,0.000042
25,Polyline,Wet,0,<Null>,<Null>,<Null>,2.635185,<Null>,0,0.000029
26,Polyline,Wet,0,<Null>,<Null>,<Null>,3.861879,<Null>,0,0.000043
27,Polyline,Wet,0,<Null>,<Null>,<Null>,3.861895,<Null>,0,0.000043
28,Polyline,Wet,1,<Null>,<Null>,<Null>,59.40515,<Null>,0,0.00066
29,Polyline,Wet,0,<Null>,<Null>,<Null>,32.43444,<Null>,0,0.00036
30,Polyline,Wet,0,<Null>,<Null>,<Null>,23.22193,<Null>,0,0.000258
31,Polyline,Wet,0,<Null>,<Null>,<Null>,53.08376,<Null>,0,0.00059
32,Polyline,Wet,0,<Null>,<Null>,<Null>,23.90661,<Null>,0,0.000266
33,Polyline,Wet,0,<Null>,<Null>,<Null>,16.58747,<Null>,0,0.000184
34,Polyline,Wet,0,<Null>,<Null>,<Null>,10.80584,<Null>,0,0.00012
35,Polyline,Wet,1,<Null>,<Null>,<Null>,64.95172,<Null>,0,0.000722
36,Polyline,Wet,0,<Null>,<Null>,<Null>,17.16668,<Null>,0,0.000191
37,Polyline,Wet,0,<Null>,<Null>,<Null>,29.8427,<Null>,0,0.000332
38,Polyline,Wet,0,<Null>,<Null>,<Null>,1.777614,<Null>,0,0.00002
39,Polyline,Wet,0,<Null>,<Null>,<Null>,2.039013,<Null>,0,0.000023
40,Polyline,Wet,0,<Null>,<Null>,<Null>,14.10924,<Null>,0,0.000157
41,Polyline,Wet,0,<Null>,<Null>,<Null>,2.727598,<Null>,0,0.00003
42,Polyline,Wet,0,<Null>,<Null>,<Null>,6.919772,<Null>,0,0.000077
43,Polyline,Wet,0,<Null>,<Null>,<Null>,7.128496,<Null>,0,0.000079
44,Polyline,Wet,0,<Null>,<Null>,<Null>,3.479275,<Null>,0,0.000039
45,Polyline,Wet,1,4749,12941025,12.94102,14.15156,0.914459,1,0.000157
46,Polyline,Wet,0,<Null>,<Null>,<Null>,1.235122,<Null>,0,0.000014
