OBJECTID *,Shape *,condition,springpres,COUNT,SUM,boul_area,length_m,area_leng,boul_pres,Shape_Length
1,Polyline,Wet,0,<Null>,<Null>,<Null>,279.4889,<Null>,0,0.000216
2,Polyline,Wet,0,<Null>,<Null>,<Null>,17.03482,<Null>,0,0.000189
3,Polyline,Dry,0,<Null>,<Null>,<Null>,14.04147,<Null>,0,0.000156
4,Polyline,Wet,0,<Null>,<Null>,<Null>,18.99157,<Null>,0,0.000211
5,Polyline,Dry,0,<Null>,<Null>,<Null>,418.4337,<Null>,0,0.000335
6,Polyline,Wet,1,4710,12834750,12.83475,17.0313,0.753598,1,0.000189
7,Polyline,Dry,0,27451,74803975,74.80398,540.3181,0.138444,1,0.000063
8,Polyline,Dry,0,<Null>,<Null>,<Null>,7.094212,<Null>,0,0.000079
9,Polyline,Wet,0,3312,9025200,9.0252,2.570105,3.511608,1,0.000029
10,Polyline,Dry,0,3962,10796450,10.79645,1.878047,5.748765,1,0.000021
11,Polyline,Wet,0,2712,7390200,7.3902,6.169538,1.197853,1,0.000069
12,Polyline,Dry,0,11863,32326675,32.32668,67.49465,0.478952,1,0.00075
13,Polyline,Wet,1,16371,44610975,44.61097,54.35387,0.820751,1,0.000604
14,Polyline,Dry,0,<Null>,<Null>,<Null>,32.8238,<Null>,0,0.000365
15,Polyline,Wet,0,<Null>,<Null>,<Null>,10.78655,<Null>,0,0.00012
16,Polyline,Dry,0,<Null>,<Null>,<Null>,25.16814,<Null>,0,0.00028
17,Polyline,Wet,0,<Null>,<Null>,<Null>,10.37806,<Null>,0,0.000115
18,Polyline,Wet,0,<Null>,<Null>,<Null>,35.79183,<Null>,0,0.000388
19,Polyline,Dry,0,<Null>,<Null>,<Null>,10.05433,<Null>,0,0.000112
20,Polyline,Dry,1,53494,145771150,145.7711,1032.695,0.141156,1,0.001891
21,Polyline,Dry,0,170167,463705075,463.7051,1371.549,0.338089,1,0.003028
22,Polyline,Wet,0,<Null>,<Null>,<Null>,17.37082,<Null>,0,0.000193
23,Polyline,Dry,0,<Null>,<Null>,<Null>,82.44037,<Null>,0,0.000916
24,Polyline,Wet,0,955,2602375,2.602375,14.28853,0.18213,1,0.000159
25,Polyline,Dry,0,9580,26105500,26.1055,12.3484,2.114079,1,0.000137
26,Polyline,Wet,0,17131,46681975,46.68198,17.70221,2.63707,1,0.000197
27,Polyline,Dry,1,10201,27797725,27.79773,60.77782,0.457366,1,0.000675
28,Polyline,Wet,0,8322,22677450,22.67745,10.07653,2.250522,1,0.000112
29,Polyline,Dry,0,71943,196044675,196.0447,734.2781,0.26699,1,0.000487
30,Polyline,Wet,0,<Null>,<Null>,<Null>,1.97676,<Null>,0,0.000022
31,Polyline,Dry,0,<Null>,<Null>,<Null>,60.64807,<Null>,0,0.000674
32,Polyline,Wet,0,<Null>,<Null>,<Null>,12.61017,<Null>,0,0.00014
33,Polyline,Dry,0,<Null>,<Null>,<Null>,41.02045,<Null>,0,0.000456
34,Polyline,Dry,0,5080,13843000,13.843,102.3078,0.135307,1,0.001137
35,Polyline,Wet,0,<Null>,<Null>,<Null>,9.60168,<Null>,0,0.000107
36,Polyline,Wet,0,<Null>,<Null>,<Null>,5.203809,<Null>,0,0.000058
